option,classification,area
--request,transfer,method
-X,transfer,method
--header,transfer,headers
-H,transfer,headers
--data,transfer,body
-d,transfer,body
--data-raw,transfer,body
--data-binary,policy-gated,file/body
--json,transfer,body
--form,policy-gated,multipart/file
-F,policy-gated,multipart/file
--upload-file,policy-gated,file
--user,transfer,auth
-u,transfer,auth
--oauth2-bearer,transfer,auth
--aws-sigv4,feature-gated,auth
--location,transfer,redirect
-L,transfer,redirect
--max-redirs,transfer,redirect
--retry,transfer,retry
--retry-delay,transfer,retry
--retry-max-time,transfer,retry
--connect-timeout,transfer,timeout
--max-time,transfer,timeout
--cookie,policy-gated,cookie/file
-b,policy-gated,cookie/file
--cookie-jar,virtualized,artifact
-c,virtualized,artifact
--cacert,policy-gated,file/tls
--cert,policy-gated,file/tls
--key,policy-gated,file/tls
--insecure,policy-gated,tls
--proxy,policy-gated,proxy
-x,policy-gated,proxy
--resolve,policy-gated,dns
--connect-to,policy-gated,dns
--silent,compatibility-noop,presentation
-s,compatibility-noop,presentation
--show-error,compatibility-noop,presentation
--output,unsupported,output
-o,unsupported,output
--remote-name,unsupported,output
-O,unsupported,output
--write-out,unsupported,presentation
-w,unsupported,presentation
--parallel,unsupported,multiple-transfer
--next,unsupported,multiple-transfer
--config,policy-gated,file/config
-K,policy-gated,file/config
--libcurl,unsupported,codegen
